"세종특별자치시",166,9192,71,3741,2,5562,119,69,5238,3622,2,33,2,1515,32,0,2399,1,22,557,3,3764,97,19,2391,460,47,3916,0,1955,8,46,8430,3908,12,309,5,2217,107,7,2811,202,12,636,0,0,0,12,5221,636,223,10777,147,7212,16,5562,882,131,4823,6330,3,49,3,1515,49,0,0,0,20,463,0,0,0,20,2348,463,26,2100,2,1955,33,24,8561,2067,13,304,8,2217,187,4,2811,117,15,649,0,0,0,15,4409,649,181,8801,105,5181,13,5562,737,92,4822,4444,1,15,1,1515,8,0,2756,7,6,146,0,0,0,6,2439,146,26,2000,3,1955,59,23,8560,1941,21,480,17,2217,374,4,2811,106,22,979,0,0,0,22,4409,979,314,15277,92,4440,0,5562,22,91,4833,4418,1,10,0,1515,6,0,2756,4,28,694,0,1732,1,28,2439,693,121,7925,38,1955,737,84,8588,7188,43,964,43,2217,964,0,0,0,28,1244,0,0,0,28,4409,1244
"경기도",2789,99175,109,3511,27,4050,1101,82,2951,2410,83,1834,44,1966,859,39,2474,975,137,3355,4,2100,75,134,2456,3280,837,43522,141,3866,5435,696,5470,38087,1261,34605,858,3156,27070,404,1867,7535,362,12348,0,0,0,362,3409,12348,2719,125846,135,5870,61,4930,3021,73,3879,2849,95,2282,57,2342,1329,38,2485,953,114,3017,5,2066,112,109,2675,2905,993,59216,171,3015,5142,823,6574,54074,1067,41520,703,3511,24675,364,4627,16845,315,13941,0,0,0,315,4427,13941,2264,103957,166,6981,64,5035,3228,101,3699,3753,90,2101,49,2252,1103,41,2456,998,122,3219,7,2066,142,115,2669,3077,774,45340,151,3013,4538,623,6547,40802,844,34121,442,3510,15504,402,4631,18617,269,12195,0,0,0,269,4537,12195,2710,114600,276,11404,88,5035,4411,189,3705,6993,116,2731,54,2252,1210,62,2456,1521,169,4718,6,2066,131,162,2826,4587,641,33605,158,3028,4774,484,5961,28831,1019,39927,633,3520,22289,386,4568,17638,489,22215,0,0,0,489,4546,22215
"강원도",3152,135346,215,10087,27,2445,659,188,5005,9428,19,429,4,1990,72,16,2290,357,45,889,3,1678,51,42,2003,838,772,34615,385,3849,14823,387,5117,19792,1040,26791,921,2607,24019,118,2341,2772,1061,62535,0,0,0,1061,5895,62535,3142,128812,233,11883,29,2831,830,204,5423,11053,26,583,6,1423,84,20,2512,499,65,1382,11,1847,211,54,2179,1171,805,37490,393,4352,17096,413,4942,20394,1090,28349,984,2516,24749,107,3379,3600,922,49125,0,0,0,922,5327,49125,3118,127978,207,10391,33,2831,947,174,5439,9444,28,564,12,1423,165,16,2512,399,78,1562,7,1308,92,71,2069,1470,905,41476,488,4241,20711,417,4981,20765,995,26252,908,2566,23288,87,3400,2964,906,47733,0,0,0,906,5270,47733,2997,122816,307,15844,39,2840,1112,268,5506,14732,13,228,9,1428,129,4,2494,99,32,627,3,1322,43,29,2036,584,715,32507,431,4246,18315,284,4997,14192,1044,27140,1013,2574,26082,31,3390,1058,885,46470,0,0,0,885,5248,46470
"충청북도",4292,218721,2212,118331,261,3019,7867,1951,5661,110464,17,313,6,1200,73,11,2290,240,134,3925,0,0,0,134,2924,3925,568,31248,251,2559,6427,317,7828,24821,955,40009,285,1484,4237,670,5340,35772,406,24895,0,0,0,406,6131,24895,4099,191872,2153,91447,290,3167,9174,1863,4415,82273,3,51,2,1207,23,1,2618,28,162,3920,1,6951,71,161,2397,3849,477,33935,165,3823,6308,312,8857,27627,903,38155,283,1655,4688,619,5403,33467,402,24364,0,0,0,402,6067,24364,4174,170381,2213,69388,259,3167,8213,1953,3132,61175,6,121,4,1183,44,3,2756,77,173,4454,0,3728,14,173,2569,4440,512,36423,173,3641,6287,340,8869,30136,824,33959,295,1039,3068,529,5837,30891,445,26036,0,0,0,445,5849,26036,3457,133536,1948,61357,157,3172,4965,1791,3148,56392,12,249,5,1183,60,7,2756,189,165,4260,1,3728,28,164,2578,4232,356,22253,178,3641,6475,179,8837,15778,528,20113,223,1024,2281,305,5839,17832,447,25304,0,0,0,447,5657,25304
"충청남도",6162,299700,2396,95588,12,3424,397,2385,3992,95191,26,690,18,2808,514,7,2399,176,1258,34732,0,3764,16,1257,2761,34716,1332,112934,106,4915,5186,1227,8784,107748,400,11152,195,2625,5116,206,2937,6036,750,44604,0,0,0,750,5951,44604,6544,308057,2663,108158,17,4975,852,2646,4056,107306,23,667,15,3005,441,9,2618,226,1489,42873,2,6951,146,1487,2873,42727,1115,87086,90,4676,4221,1025,8084,82865,475,12568,214,2461,5274,261,2797,7294,778,56705,0,0,0,778,7286,56705,6024,322543,2591,137618,15,5200,785,2576,5312,136833,68,2041,45,3133,1403,23,2756,638,1286,36582,6,1026,62,1280,2854,36520,965,81359,59,4709,2781,906,8671,78578,387,10333,269,2478,6663,118,3109,3670,727,54610,0,0,0,727,7507,54610,6404,338751,2654,141115,40,6223,2489,2614,5303,138626,49,1631,25,3888,968,24,2756,663,1277,35901,7,1732,121,1270,2817,35780,873,69851,132,4696,6216,741,8591,63635,539,14198,370,2420,8948,169,3104,5250,1012,76055,0,0,0,1012,7518,76055
"전라북도",3517,183804,1714,70922,521,3971,20690,1193,4209,50232,20,516,13,2808,373,7,2104,143,557,17508,2,3247,54,555,3143,17454,331,28182,108,8821,9517,223,8378,18665,438,24012,218,5270,11478,220,5688,12534,457,42664,0,0,0,457,9339,42664,3773,177155,1974,85244,600,3853,23102,1374,4523,62142,21,391,10,1500,144,12,2104,247,612,16774,1,309,3,611,2747,16771,282,29585,24,6761,1616,258,10832,27969,402,17880,223,4771,10657,179,4046,7223,483,27281,0,0,0,483,5651,27281,3940,176802,2235,93305,823,3628,29850,1412,4493,63455,6,73,6,1183,66,0,2103,7,594,18510,1,3343,22,593,3116,18488,197,17786,60,6342,3804,137,10239,13982,413,18567,193,4930,9531,220,4112,9036,495,28561,0,0,0,495,5770,28561,4102,203665,2334,102166,661,3960,26179,1673,4543,75987,26,395,25,1477,363,2,2103,32,454,14139,0,3079,4,454,3114,14135,376,36802,39,6021,2355,337,10235,34447,220,10020,168,4764,8017,52,3839,2003,692,40143,0,0,0,692,5804,40143
"전라남도",4417,188402,621,21374,196,1962,3853,424,4130,17521,23,728,20,2808,571,3,5028,157,831,26361,12,3247,376,819,3172,25985,325,27748,8,8161,645,318,8535,27103,1653,60156,1332,2946,39251,321,6521,20905,964,52035,0,0,0,964,5398,52035,4557,196166,531,21658,203,3798,7719,328,4254,13939,20,502,14,1500,214,6,5028,288,761,22195,2,3343,58,759,2915,22137,237,23340,4,6088,263,233,9899,23077,2100,69122,1679,2595,43572,421,6075,25550,908,59349,0,0,0,908,6538,59349,4801,200339,556,22856,128,3803,4886,427,4207,17970,26,484,21,1183,246,5,5028,238,683,19047,15,3343,517,667,2777,18530,284,28068,10,6088,636,274,10013,27432,2382,74785,2010,2643,53135,372,5825,21650,871,55099,0,0,0,871,6327,55099,3517,125839,644,24447,195,3705,7226,449,3835,17221,17,374,14,1477,203,3,5028,171,657,17775,2,3079,74,654,2705,17701,90,8243,16,6088,976,74,9876,7267,1466,33804,1263,1764,22278,204,5663,11526,643,41196,0,0,0,643,6405,41196
"경상북도",7831,344399,1454,53649,988,3366,33259,466,4375,20390,3180,117702,2,2228,56,3177,3703,117646,325,9828,7,2349,159,318,3043,9669,663,80469,101,4141,4170,563,13564,76299,1725,46832,1478,2476,36596,247,4150,10236,485,35919,0,0,0,485,7406,35919,7934,340476,1495,47975,1060,2843,30131,435,4101,17844,3201,137056,5,1207,61,3196,4287,136995,352,14583,2,1411,24,350,4154,14559,628,64938,78,4017,3142,550,11237,61796,1753,44614,1559,2401,37439,194,3699,7175,505,31310,0,0,0,505,6203,31310,7120,304043,1271,40444,883,2734,24135,388,4205,16309,3149,135608,9,1423,128,3140,4315,135480,347,13916,3,1214,31,344,4033,13885,683,57602,86,3876,3334,597,9093,54268,1315,34371,1064,2482,26398,251,3174,7973,356,22102,0,0,0,356,6211,22102,8490,366350,1360,49363,785,3160,24814,574,4274,24549,4201,187912,13,1428,192,4187,4483,187720,711,27652,15,1122,168,696,3951,27484,504,43265,59,3844,2257,446,9201,41008,1274,32205,1123,2440,27390,151,3187,4815,441,25953,0,0,0,441,5890,25953
"경상남도",7041,282023,2460,79862,18,2670,489,2441,3251,79373,36,581,6,915,56,30,1764,525,2585,82400,6,3240,183,2580,3187,82217,193,16148,8,3237,268,185,8582,15880,1010,46954,363,2471,8964,647,5872,37990,757,56078,0,0,0,757,7410,56078,6815,333907,2010,75079,29,2939,849,1981,3747,74230,30,432,9,1500,137,21,1422,295,2746,124754,2,3684,66,2744,4544,124688,171,16487,10,3331,347,160,10073,16140,1229,69445,382,2373,9056,848,7123,60389,629,47710,0,0,0,629,7580,47710,5982,251532,1622,60367,27,3007,823,1595,3733,59544,14,197,9,1423,133,5,1422,64,2252,62146,2,3670,78,2250,2759,62068,152,14410,12,3330,397,140,10027,14013,1316,67618,546,2405,13128,770,7078,54490,626,46794,0,0,0,626,7470,46794,5775,219920,1672,62659,33,3007,979,1639,3763,61680,94,1350,15,1477,222,79,1422,1128,2496,68698,5,3780,171,2491,2751,68527,162,14707,25,4049,1016,137,10009,13691,848,36247,506,2403,12150,342,7042,24097,504,36259,0,0,0,504,7194,36259
"제주도",879,25158,261,7331,247,2795,6903,14,3057,428,14,245,14,1519,205,1,5028,40,72,1082,55,1220,673,17,2471,409,73,3775,8,8161,679,65,4777,3096,388,8661,388,2228,8647,0,6521,14,71,4064,0,0,0,71,5745,4064,978,26145,310,7618,276,2391,6610,34,3009,1008,15,219,15,1477,219,0,5028,0,25,519,9,1204,107,16,2606,412,56,3012,37,6088,2273,19,3889,739,528,11236,528,2128,11233,0,6075,3,44,3541,0,0,0,44,8035,3541,1274,31016,345,8327,309,2397,7414,35,2572,913,11,158,11,1477,158,0,0,0,30,712,4,1204,52,26,2575,660,53,2215,7,6088,413,46,3936,1802,792,16341,792,2063,16341,0,0,0,43,3263,0,0,0,43,7504,3263,1288,31515,149,3579,138,2397,3305,11,2499,274,32,478,32,1477,478,0,0,0,70,1842,0,1204,4,70,2629,1838,67,2696,4,6088,227,63,3915,2469,918,19148,914,2067,18887,5,5663,261,51,3772,0,0,0,51,7372,3772
