"세종특별자치시",23,1466,22,1440,20,6829,1346,0,3450,15,0,3460,15,0,0,0,19,6906,1331,19,6968,1303,1,4899,29,0,0,0,2,3996,94,1,2071,26,51,3042,49,2994,28,7215,2022,1,3411,32,1,3460,32,0,0,0,27,7347,1990,25,7486,1888,2,5458,101,0,0,0,21,4664,972,3,1910,48,33,1783,28,1641,19,6508,1260,3,3464,104,3,3460,104,0,0,0,16,7066,1156,16,7156,1127,1,4724,29,0,0,0,8,4504,381,5,2890,142,10,549,9,541,7,6169,442,0,3436,10,0,3460,10,0,0,0,7,6285,432,7,6297,426,0,5545,6,0,0,0,2,4659,99,0,2851,8,38,2154,38,2154,38,5703,2154,0,0,0,0,0,0,0,0,0,38,5703,2154,21,7141,1480,17,3956,675,0,0,0,0,0,0,0,0,0
"경기도",2411,145090,2387,144309,2265,6162,139547,874,4564,39906,874,4564,39906,0,0,0,1390,7167,99641,921,8137,74979,469,5260,24662,0,0,0,123,3883,4762,23,3329,781,2265,132560,2231,131524,2169,5950,129062,945,3856,36441,945,3856,36441,0,0,0,1224,7566,92621,815,8737,71225,409,5232,21396,0,0,0,61,4006,2462,34,3023,1036,1909,99438,1808,96385,1677,5436,91142,774,3832,29673,758,3832,29031,17,3856,642,886,6915,61246,616,7864,48403,270,4752,12843,17,1337,223,131,4006,5243,101,3023,3053,2154,109403,2113,108156,2032,5163,104889,1100,3818,42012,1100,3818,42012,0,0,0,931,6751,62877,622,7412,46094,309,5424,16783,0,0,0,82,4006,3267,41,3063,1247,1244,85528,1244,85528,1244,6876,85528,0,0,0,0,0,0,0,0,0,1244,6876,85528,870,7615,66219,374,5161,19309,0,0,0,0,0,0,0,0,0
"강원도",3732,134121,3598,130663,3563,3642,129768,3167,3276,103755,484,3506,16961,2683,3235,86794,396,6562,26013,356,6877,24505,40,3761,1508,0,0,0,35,2557,895,134,2584,3458,3355,129464,3062,121547,3046,3976,121111,2584,3524,91059,400,3718,14886,2183,3489,76173,463,6495,30052,403,6750,27179,60,4782,2873,0,0,0,16,2788,436,293,2706,7917,3662,149764,3178,135043,3154,4261,134414,2615,3993,104405,266,4074,10838,2349,3984,93567,537,5589,29990,471,5799,27326,65,4079,2665,3,629,19,23,2682,629,485,3038,14721,4418,182932,3848,165611,3809,4320,164542,3271,4132,135139,716,4074,29170,2555,4148,105969,538,5464,29403,431,5854,25222,107,3897,4181,0,0,0,39,2730,1069,570,3038,17321,535,31622,535,31622,535,5913,31622,0,0,0,0,0,0,0,0,0,535,5913,31622,444,6424,28539,91,3403,3083,0,0,0,0,0,0,0,0,0
"충청북도",959,52795,881,51383,852,5791,49366,572,5183,29632,572,5183,29632,0,0,0,281,7030,19734,260,7236,18821,21,4431,912,0,0,0,28,7108,2017,78,1809,1412,884,41640,771,40726,765,5259,40216,544,4916,26755,544,4916,26755,0,0,0,220,6107,13461,201,6352,12772,19,3561,689,0,0,0,7,7551,510,112,815,914,951,41090,903,40702,894,4476,40013,703,4019,28256,702,4019,28210,1,3856,46,190,6193,11741,179,6301,11276,11,4374,465,1,1337,16,9,7500,689,48,815,388,591,26754,588,26735,576,4476,25793,364,4258,15481,364,4258,15481,0,0,0,213,4848,10312,167,5148,8579,46,3763,1733,0,0,0,12,7708,942,2,815,19,190,11932,190,11932,190,6280,11932,0,0,0,0,0,0,0,0,0,190,6280,11932,151,6563,9918,39,5177,2014,0,0,0,0,0,0,0,0,0
"충청남도",1974,93890,1932,93020,1799,4874,87692,892,2643,23567,892,2643,23567,0,0,0,907,7067,64125,735,7574,55695,172,4899,8430,0,0,0,133,3996,5328,42,2071,870,1395,78030,1363,77413,1345,5694,76606,539,2827,15239,539,2827,15239,0,0,0,806,7610,61367,577,8463,48871,229,5458,12496,0,0,0,17,4664,807,32,1910,617,1395,70907,1364,70296,1330,5180,68890,592,2551,15097,570,2444,13942,21,5401,1155,717,7465,53507,591,8048,47567,126,4724,5939,21,1337,286,34,4191,1406,32,1921,611,1491,81902,1455,81233,1430,5608,80201,598,2374,14199,598,2374,14199,0,0,0,832,7933,66002,719,8307,59753,113,5545,6250,0,0,0,25,4140,1032,36,1883,669,1164,87729,1164,87729,1164,7540,87729,0,0,0,0,0,0,0,0,0,1164,7540,87729,896,8175,73233,268,5414,14496,0,0,0,0,0,0,0,0,0
"전라북도",2175,156283,2158,155907,1961,7449,146093,796,5412,43068,685,5450,37327,111,5177,5741,1165,8840,103025,1095,9136,100074,70,4207,2951,0,0,0,197,4991,9814,17,2218,376,1788,120554,1765,119978,1678,6880,115452,672,5331,35804,561,5392,30266,110,5023,5538,1006,7914,79648,999,7941,79359,7,4106,289,0,0,0,87,5194,4526,23,2463,576,2314,173397,2235,171518,1995,7971,159026,719,6375,45866,603,6563,39569,117,5401,6297,1236,9114,112630,1236,9114,112627,0,4724,3,40,1337,530,241,5194,12492,79,2388,1879,2477,178649,2467,178408,2285,7401,169135,837,6438,53853,735,6575,48305,102,5447,5548,1449,7958,115282,1319,8163,107646,130,5873,7636,0,0,0,182,5108,9273,10,2438,241,1099,85057,1099,85057,1099,7741,85057,0,0,0,0,0,0,0,0,0,1099,7741,85057,999,7603,75929,100,9120,9128,0,0,0,0,0,0,0,0,0
"전라남도",1870,111875,1847,111397,1590,6443,102412,557,3826,21309,557,3826,21309,0,0,0,1033,7854,81103,764,9134,69818,268,4207,11285,0,0,0,257,3492,8985,24,2027,478,1629,98816,1579,97629,1358,6480,87977,561,4440,24924,561,4440,24924,0,0,0,796,7918,63053,656,8733,57298,140,4106,5755,0,0,0,221,4365,9652,50,2355,1187,2200,130079,1965,124506,1636,6732,110154,616,4897,30189,435,4687,20375,182,5401,9814,838,8376,70206,813,8489,69020,25,4724,1185,182,5371,9759,329,4362,14352,234,2379,5573,1611,104065,1554,102422,1292,7043,90997,322,4687,15108,322,4687,15108,0,0,0,970,7826,75888,764,8670,66241,206,4691,9647,0,2192,1,262,4362,11425,57,2894,1643,1071,98434,1071,98434,1071,9188,98434,0,0,0,0,0,0,0,0,0,1071,9188,98434,873,10272,89642,199,4427,8792,0,0,0,0,0,0,0,0,0
"경상북도",1948,81363,1670,76233,1568,4629,72600,1219,4124,50278,1137,4271,48566,82,2088,1712,349,6390,22322,349,6392,22308,0,4431,15,0,0,0,102,3569,3633,278,1844,5130,1657,55827,1485,52460,1452,3526,51184,1229,3047,37432,1177,3094,36424,51,1961,1008,223,6166,13752,221,6187,13687,2,3561,65,0,0,0,34,3800,1276,171,1964,3367,1757,61129,1569,56162,1502,3595,54000,1186,2903,34423,1082,3002,32490,103,1868,1933,316,6189,19577,314,6200,19488,2,4374,89,0,0,0,67,3251,2162,188,2642,4967,1562,56079,1411,52063,1388,3697,51301,984,2773,27275,873,2893,25264,110,1824,2011,404,5945,24026,351,6272,22046,53,3763,1980,0,0,0,23,3295,762,151,2662,4016,438,32214,438,32214,438,7356,32214,0,0,0,0,0,0,0,0,0,438,7356,32214,434,7381,32052,4,4427,162,0,0,0,0,0,0,0,0,0
"경상남도",1406,69348,727,39880,662,5609,37139,411,3583,14734,387,3465,13407,24,5478,1327,251,8928,22405,251,8928,22405,0,0,0,0,0,0,64,4250,2741,679,4339,29468,1312,64899,690,39233,643,5837,37539,345,3847,13277,345,3847,13277,0,0,0,298,8141,24262,297,8153,24226,1,4106,36,0,0,0,47,3600,1694,621,4130,25666,1454,66408,609,31490,521,5436,28346,349,3840,13383,348,3840,13376,0,3897,7,173,8655,14955,173,8656,14953,0,4374,2,0,4572,8,87,3600,3144,845,4131,34918,1198,59619,344,24305,316,7378,23278,116,3862,4486,114,3861,4396,2,3897,90,199,9427,18792,199,9433,18783,0,3763,9,0,0,0,28,3634,1027,854,4133,35314,170,15239,170,15239,170,8987,15239,0,0,0,0,0,0,0,0,0,170,8987,15239,170,8987,15239,0,0,0,0,0,0,0,0,0,0,0,0
"제주도",8609,428118,7746,397356,7746,5130,397355,173,3492,6052,173,3492,6052,0,0,0,9,9134,799,9,9134,799,0,0,0,7564,5163,390504,0,3492,1,864,3562,30762,6793,422610,6073,396883,6073,6535,396869,192,3383,6496,192,3383,6496,0,0,0,0,0,0,0,0,0,0,0,0,5881,6638,390373,0,4365,14,720,3575,25727,7411,458075,6497,424274,6497,6530,424274,178,3414,6060,178,3414,6060,0,0,0,0,0,0,0,0,0,0,0,0,6319,6618,418214,0,0,0,914,3699,33801,7263,452586,6111,404774,6111,6623,404774,166,3506,5818,166,3506,5818,0,0,0,57,11694,6679,57,11694,6679,0,0,0,5888,6662,392277,0,0,0,1151,4153,47812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
